model_path	term_hint	mapping_work	source_internal	status
xr.lines[].quantity	BT-129	value / map		todo
xr.lines[].quantityUnitCode	BT-130	value / map		todo
xr.lines[].lineExtensionAmount	BT-131	value / map		todo
xr.lines[].accountingCost	BT-133	value / map		todo
xr.lines[].orderLineReference	BT-132	value / map		todo
xr.lines[].period	BG-26	object / compose		todo
xr.lines[].period.startDate	BT-134	value / map		todo
xr.lines[].period.endDate	BT-135	value / map		todo
xr.lines[].allowances[]	BG-27	list / repeat		todo
xr.lines[].allowances[].amount	BT-136	value / map		todo
xr.lines[].allowances[].baseAmount	BT-137	value / map		todo
xr.lines[].allowances[].percent	BT-138	value / map		todo
xr.lines[].allowances[].reason	BT-139	value / map		todo
xr.lines[].allowances[].reasonCode	BT-140	value / map		todo
xr.lines[].charges[]	BG-28	list / repeat		todo
xr.lines[].charges[].amount	BT-141	value / map		todo
xr.lines[].charges[].baseAmount	BT-142	value / map		todo
xr.lines[].charges[].percent	BT-143	value / map		todo
xr.lines[].charges[].reason	BT-144	value / map		todo
xr.lines[].charges[].reasonCode	BT-145	value / map		todo
xr.lines[].price	BG-29	object / compose		todo
xr.lines[].price.netAmount	BT-146	value / map		todo
xr.lines[].price.discount	BT-147..148	object / compose		todo
xr.lines[].price.discount.amount	BT-147	value / map		todo
xr.lines[].price.discount.baseAmount	BT-148	value / map		todo
xr.lines[].price.baseQuantity	BT-149	value / map		todo
xr.lines[].price.baseQuantityUnitCode	BT-150	value / map		todo
xr.lines[].vat	BG-30	object / compose		todo
xr.lines[].vat.categoryCode	BT-151	value / map		todo
xr.lines[].vat.rate	BT-152	value / map		todo
xr.lines[].item	BG-31 and BG-32	object / compose		todo
xr.lines[].item.name	BT-153	value / map		todo
xr.lines[].item.description	BT-154	value / map		todo
xr.lines[].item.sellersItemId	BT-155	value / map		todo
xr.lines[].item.buyersItemId	BT-156	value / map		todo
xr.lines[].item.standardId	BT-157	value / map		todo
xr.lines[].item.standardIdSchemeId	BT-157 schemeId	value / map		todo
xr.lines[].item.classifications[]	BT-158	list / repeat		todo
xr.lines[].item.classifications[].code	BT-158	value / map		todo
xr.lines[].item.classifications[].listId	BT-158 listId	value / map		todo
xr.lines[].item.classifications[].listVersionId	BT-158 listVersionId	value / map		todo
xr.lines[].item.originCountryCode	BT-159	value / map		todo
xr.lines[].item.attributes[]	BG-32	list / repeat		todo
xr.lines[].item.attributes[].name	BT-160	value / map		todo
xr.lines[].item.attributes[].value	BT-161	value / map		todo
